"long_name","name","slug","tid"
"McNeese State University","McNeese St.","mcneese-st","1301"
"University of Maryland, Eastern Shore","Md.-East. Shore","md-east-shore","2141"
"University of Maine, Farmington","Me.-Farmington","me-farmington","2127"
"University of Maine at Presque Isle","Me.-Presque Isle","me-presque-isle","2125"
"Medaille College","Medaille","medaille","1303"
"Medgar Evers College","Medgar Evers","medgar-evers","1305"
"University of Memphis","Memphis","memphis","2151"
"Menlo College","Menlo","menlo","1307"
"Mercer University","Mercer","mercer","1309"
"U.S. Merchant Marine Academy","Merchant Marine","merchant-marine","2001"
"Mercy College","Mercy","mercy","1311"
"Mercyhurst College","Mercyhurst","mercyhurst","1313"
"Meredith College","Meredith","meredith","1315"
"Merrimack College","Merrimack","merrimack","1317"
"Messiah College","Messiah","messiah","1321"
"Methodist University","Methodist","methodist","1323"
"Metropolitan St. University of Denver","Metro St.","metro-st","1325"
"University of Miami","Miami (Fla.)","miami-fl","2153"
"Miami University (Ohio)","Miami (OH)","miami-oh","1327"
"University of Michigan","Michigan","michigan","2155"
"Michigan State University","Michigan St.","michigan-st","17"
"Michigan Technological University","Michigan Tech","michigan-tech","1329"
"Middle Tennessee State University","Middle Tenn.","middle-tenn","1331"
"Middlebury College","Middlebury","middlebury","1333"
"Midwestern State University","MSU Texas ","midwestern-st","1335"
"Miles College","Miles","miles","1337"
"Millersville University","Millersville","millersville","1339"
"Millikin University","Millikin","millikin","1341"
"Mills College","Mills","mills","1343"
"Millsaps College","Millsaps","millsaps","1345"
"University of Wisconsin, Milwaukee","Milwaukee","milwaukee","2351"
"University of Minnesota-Crookston","Minn.-Crookston","minn-crookston","2159"
"University of Minnesota-Duluth","Minn. Duluth","minn-duluth","2157"
"University of Minnesota-Morris","Minn.-Morris","minn-morris","2161"
"Minnesota State University-Mankato","Minn. St. Mankato","minn-st-mankato","1351"
"Minnesota State Univ.-Moorhead","Minn. St. Moorhead","minn-st-moorhead","1349"
"University of Minnesota","Minnesota","minnesota","2163"
"Minot State University","Minot St.","minot-st","1353"
"Misericordia University","Misericordia","misericordia","1355"
"Mississippi College","Mississippi Col.","mississippi-col","1357"
"Mississippi State University","Mississippi St.","mississippi-st","1359"
"Mississippi Valley State University","Mississippi Val.","mississippi-val","1361"
"University of Missouri","Missouri","missouri","2167"
"Missouri S&T","Missouri S&T","missouri-snt","1367"
"Missouri State University","Missouri St.","missouri-st","1365"
"MIT","MIT","mit","1291"
"Mitchell College","Mitchell","mitchell","1371"
"Missouri Southern St. University","Mo. Southern St.","mo-southern-st","1363"
"University of Missouri-St. Louis","Mo.-St. Louis","mo-st-louis","2171"
"Missouri Western St. University","Mo. Western St.","mo-western-st","1369"
"Molloy College","Molloy","molloy","1373"
"Monmouth University","Monmouth","monmouth","1377"
"Monmouth College","Monmouth (IL)","monmouth-il","1375"
"Montana St. University Billings","Mont. St. Billings","mont-st-billings","1379"
"University of Montana","Montana","montana","2173"
"Montana State University-Bozeman","Montana St.","montana-st","1381"
"Montclair State University","Montclair St.","montclair-st","1383"
"University of Montevallo","Montevallo","montevallo","2175"
"Moravian College","Moravian","moravian","1385"
"Morehead State University","Morehead St.","morehead-st","1387"
"Morehouse College","Morehouse","morehouse","1389"
"Morgan State University","Morgan St.","morgan-st","1391"
"Morningside College","Morningside","morningside","1393"
"Morris Brown College","Morris Brown","morris-brown","1395"
"Morrisville State College","Morrisville St.","morrisville-st","1397"
"Mount Holyoke College","Mount Holyoke","mount-holyoke","1401"
"Mount Ida College","Mount Ida","mount-ida","1403"
"Mount Olive College","Mount Olive","mount-olive","1407"
"Mount Union College","Mount Union","mount-union","1413"
"Milwaukee School of Engineering","Milwaukee Engr.","msoe","1347"
"Mount Aloysius College","Mt. Aloysius","mt-aloysius","1399"
"Mount Mary College","Mt. Mary","mt-mary","1405"
"Mount St. Joseph University","Mount St. Joseph ","mt-st-joseph","691"
"Mount Saint Mary College ","Mt. St. Mary (NY)","mt-st-mary-ny","1409"
"Mount St. Mary's University","Mt. St. Mary's","mt-st-marys","1411"
"College of Mount Saint Vincent","Mt. St. Vincent","mt-st-vincent","693"
"Muhlenberg College","Muhlenberg","muhlenberg","1415"
"Murray State University","Murray St.","murray-st","1417"
"Muskingum University","Muskingum","muskingum","1419"
"U.S. Naval Academy","Navy","navy","2005"
"Nazareth College","Nazareth","nazareth","1421"
"North Carolina A&T State University","North Carolina A&T","nc-at","1457"
"North Carolina Central University","North Carolina Central","nc-central","1459"
"North Carolina Wesleyan College","North Carolina Wesleyan ","nc-wesleyan","1463"
"University of Nebraska-Kearney","Neb.-Kearney","neb-kearney","2177"
"University of Nebraska-Omaha","Omaha","neb-omaha","2179"
"Nebraska Wesleyan University","Neb. Wesleyan","neb-wesleyan","1423"
"University of Nebraska","Nebraska","nebraska","2181"
"Neumann University","Neumann","neumann","1425"
"University of Nevada","Nevada","nevada","2183"
"New England College","New England Col.","new-england-col","1427"
"University of New Hampshire","New Hampshire","new-hampshire","2189"
"University of New Haven","New Haven","new-haven","2191"
"New Jersey City University","New Jersey City","new-jersey-city","1429"
"University of New Mexico","New Mexico","new-mexico","2193"
"New Mexico State University","New Mexico St.","new-mexico-st","1435"
"University of New Orleans","New Orleans","new-orleans","2195"
"College of New Rochelle","New Rochelle","new-rochelle","695"
"New York University","New York U.","new-york-u","1441"
"Newberry College","Newberry","newberry","1443"
"Newbury College","Newbury","newbury","1445"
"Newman University","Newman","newman","1447"
"Niagara University","Niagara","niagara","1449"
"Nicholls State University","Nicholls St.","nicholls-st","1451"
"Nichols College","Nichols","nichols","1453"
"New Jersey Institute of Technology","New-Jersey-Tech","njit","1431"
"New Mexico Highlands University","New-Mexico-Highlands ","nm-highlands","1433"
"Norfolk State University","Norfolk St.","norfolk-st","1455"
"University of North Alabama","North Ala.","north-ala","2197"
"University of North Carolina","North Carolina","north-carolina","2205"
"North Carolina State University","North Carolina St.","north-carolina-st","1461"
"North Central College","North Central (IL)","north-central-il","1465"
"North Central University","North Central (MN)","north-central-mn","1467"
"University of North Dakota","North Dakota","north-dakota","2211"
"North Dakota State University","North Dakota St.","north-dakota-st","1469"
"University of North Florida","North Florida","north-florida","2213"
"University of North Georgia","North Ga.","north-georgia","1471"
"North Greenville University","North Greenville","north-greenville","1473"
"North Park University","North Park","north-park","1475"
"University of North Texas","North Texas","north-texas","2215"
"Northeastern University","Northeastern","northeastern","1481"
"Northeastern Illinois","Northeastern Ill.","northeastern-ill","1477"
"Northeastern State University","Northeastern St.","northeastern-st","1479"
"Northern Arizona University","Northern Ariz.","northern-ariz","1483"
"University of Northern Colorado","Northern Colo.","northern-colo","2217"
"Northern Illinois University","Northern Ill.","northern-ill","1485"
"Northern Kentucky University","Northern Ky.","northern-ky","1487"
"Northern Michigan University","Northern Mich.","northern-mich","1489"
"Northern State University","Northern St.","northern-st","1491"
"Northland College","Northland","northland","1493"
"Northwest Missouri State University","Northwest Mo. St.","northwest-mo-st","1495"
"Northwest Nazarene University","Northwest Nazarene","northwest-nazarene","1497"
"Northwestern University","Northwestern","northwestern","1503"
"Northwestern Oklahoma State Univ.","Northwestern Oklahoma","northwestern-okla","27367"
"Northwestern State University","Northwestern St.","northwestern-st","1501"
"University of Northwestern-St. Paul","Northwestern-St. Paul","northwestern-st-paul","1499"
"Northwood University (Michigan) ","Northwood (MI)","northwood-mi","1505"
"Norwich University","Norwich","norwich","1507"
"University of Notre Dame","Notre Dame","notre-dame","2221"
"Notre Dame de Namur","Notre Dame de Namur","notre-dame-de-namur","1511"
"Notre Dame of Maryland University","Notre Dame (MD)","notre-dame-md","697"
"Notre Dame College (Ohio)","Notre Dame (OH)","notre-dame-oh","1509"
"Nova Southeastern University","Nova Southeastern","nova-southeastern","1513"
"Nyack College","Nyack","nyack","1515"
"New York Institute of Technology","New-York-Inst ","nyit","1439"
"Oakland University","Oakland","oakland","1519"
"Oakland City University","Oakland City","oakland-city","1517"
"Oberlin College","Oberlin","oberlin","1521"
"Occidental College","Occidental","occidental","1523"
"Oglethorpe University","Oglethorpe","oglethorpe","1525"
"Ohio University","Ohio","ohio","1531"
"Ohio Dominican University","Ohio Dominican","ohio-dominican","1527"
"Ohio Northern University","Ohio Northern","ohio-northern","1529"
"The Ohio State University","Ohio St.","ohio-st","1961"
"Ohio Valley University","Ohio Valley","ohio-valley","1533"
"Ohio Wesleyan University","Ohio Wesleyan","ohio-wesleyan","1535"
"","Oklahoma Baptist University","okla-baptist","43825"
"Oklahoma Christian University","Oklahoma Christian","okla-christian","27371"
"Oklahoma Panhandle State Univ.","Oklahoma Panhandle","okla-panhandle","1537"
"University of Oklahoma","Oklahoma","oklahoma","2223"
"Oklahoma State University","Oklahoma St.","oklahoma-st","1539"
"Old Dominion University","Old Dominion","old-dominion","1541"
"SUNY, Old Westbury","Suny-Old-Westbury ","old-westbury","1871"
"University of Mississippi","Mississippi","ole-miss","2165"
"Olivet College","Olivet","olivet","1543"
"SUNY Oneonta","SUNY Oneonta","oneonta-st","1873"
"Oral Roberts University","Oral Roberts","oral-roberts","1545"
"University of Oregon","Oregon","oregon","2225"
"Oregon State University","Oregon State","oregon-st","1547"
"SUNY, Oswego","Suny-Oswego","oswego-st","1883"
"Otterbein University","Otterbein","otterbein","1549"
"Ouachita Baptist University","Ouachita Baptist","ouachita-baptist","1551"
"University of the Ozarks","Ozarks (AR)","ozarks-ar","2317"
"Pace University","Pace","pace","1553"
"University of the Pacific","Pacific","pacific","2319"
"Pacific Lutheran University","Pacific Lutheran","pacific-lutheran","1555"
"Pacific University","Pacific (OR)","pacific-or","1557"
"Paine College","Paine","paine","1559"
"Palm Beach Atlantic University","Palm Beach Atl.","palm-beach-atl","1561"
"University of Pennsylvania","Penn","penn","2227"
"Penn State University","Penn State","penn-st","1575"
"Penn State Abington","Penn St.-Abington","penn-st-abington","1569"
"Penn State Altoona","Penn St.-Altoona","penn-st-altoona","1571"
"Penn State Behrend","Penn St.-Behrend","penn-st-behrend","1573"
"Penn State Berks College","Penn St.-Berks","penn-st-berks","1565"
"Penn State Harrisburg","Penn St.-Harrisburg","penn-st-harrisburg","1567"
"Penn College of Technology","Penn College","penn-tech","27373"
"Pepperdine University","Pepperdine","pepperdine","1577"
"Pfeiffer University","Pfeiffer","pfeiffer","1579"
"Thomas Jefferson University ","Jefferson University ","philadelphia-u","1583"
"Piedmont College","Piedmont","piedmont","1585"
"Pine Manor College","Pine Manor","pine-manor","1587"
"University of Pittsburgh, Bradford","Pitt.-Bradford","pitt-bradford","2231"
"University of Pittsburgh-Greensburg","Pitt.-Greensburg","pitt-greensburg","2233"
"University of Pittsburgh-Johnstown","Pitt.-Johnstown","pitt-johnstown","2235"
"Pittsburg State University","Pittsburg State","pittsburg-st","1589"
"University of Pittsburgh","Pittsburgh","pittsburgh","2229"
"Plattsburgh State University","Plattsburgh State","plattsburgh-st","1591"
"Plymouth State University","Plymouth St.","plymouth-st","1593"
"Point Loma ","Point Loma","point-loma","27375"
"NYU Poly","NYU Poly","polytechnic-ny","1595"
"Pomona-Pitzer Colleges","Pomona-Pitzer","pomona-pitzer","11"
"University of Portland","Portland","portland","2237"
"Portland State University","Portland St.","portland-st","1597"
"Post University","Post","post","1599"
"University of Puerto Rico-Bayamon","P.R.-Bayamon","pr-bayamon","2239"
"University of Puerto Rico, Cayey","P.R.-Cayey","pr-cayey","2241"
"University of Puerto Rico, Humacao","P.R.-Humacao","pr-humacao","2243"
"University of Puerto Rico-Mayaguez Campus","P.R.-Mayaguez","pr-mayaguez","2245"
"University of Puerto Rico-Rio Piedras","P.R.-Rio Piedras","pr-rio-piedras","2247"
"Prairie View A&M University","Prairie View","prairie-view","1601"
"Presbyterian College","Presbyterian","presbyterian","1603"
"Presentation College","Presentation","presentation","1605"
"Princeton University","Princeton","princeton","1607"
"Principia College","Principia","principia","1609"
"Providence College","Providence","providence","1611"
"University of Puget Sound","Puget Sound","puget-sound","2249"
"Purchase College-SUNY","Purchase","purchase-st","1613"
"Purdue University","Purdue","purdue","1615"
"Queens University of Charlotte","Queens (NC)","queens-nc","1619"
"Queens College","Queens (NY)","queens-ny","1617"
"Quincy University","Quincy","quincy","1621"
"Quinnipiac University","Quinnipiac","quinnipiac","1623"
"Radford University","Radford","radford","1625"
"Ramapo College","Ramapo","ramapo","1627"
"Randolph College","Randolph","randolph","1629"
"Randolph-Macon College","Randolph-Macon","randolph-macon","1631"
"University of Redlands","Redlands","redlands","2251"
"Regis University","Regis (CO)","regis-co","1635"
"Regis College","Regis College","regis-ma","1633"
"Reneau University","Reneau University","reneau-university","1637"
"Rensselaer Polytechnic Institute","Rensselaer","rensselaer","1639"
"University of Rhode Island","Rhode Island","rhode-island","2253"
"Rhode Island College","Rhode Island Col.","rhode-island-col","1641"
"Rhodes College","Rhodes","rhodes","1643"
"Rice University","Rice","rice","1645"
"Stockton University","Stockton","richard-stockton","1647"
"University of Richmond","Richmond","richmond","2255"
"Rider University","Rider","rider","1649"
"Ripon College","Ripon","ripon","1651"
"Rivier College","Rivier","rivier","1653"
"Roanoke College","Roanoke","roanoke","1655"
"Robert Morris University","Robert Morris","robert-morris","1657"
"Roberts Wesleyan College","Roberts Wesleyan","roberts-wesleyan","27379"
"Rochester Institute of Technology","Rochester Inst.","rochester-inst","1659"
"University of Rochester","Rochester (NY)","rochester-ny","2257"
"Rockford College","Rockford","rockford","1661"
"Rockhurst University","Rockhurst","rockhurst","1663"
"Roger Williams University","Roger Williams","roger-williams","1665"
"Rogers State University","Rogers State","rogers-st","27381"
"Rollins College","Rollins","rollins","1667"
"Rose-Hulman Institute of Technology","Rose-Hulman","rose-hulman","1669"
"Rosemont College","Rosemont","rosemont","1671"
"Rowan University","Rowan","rowan","1673"
"Rust College","Rust","rust","1675"
"Rutgers University","Rutgers","rutgers","1677"
"Rutgers University, Camden","Rutgers-Camden","rutgers-camden","1679"
"Rutgers University, Newark","Rutgers-Newark","rutgers-newark","1681"
"Sacramento State University","Sacramento St.","sacramento-st","577"
"Sacred Heart University","Sacred Heart","sacred-heart","1683"
"The Sage Colleges","Sage Colleges","sage-colleges","1963"
"Saginaw Valley State University","Saginaw Valley","saginaw-valley","1685"
"St. John's University (Minn.) ","St. John's (MN)","saint-johns-mn","1833"
"Saint Joseph's University","St. Joseph's","saint-josephs","1695"
"Saint Leo University","St. Leo","saint-leo","1697"
"Saint Louis University","St. Louis","saint-louis","1699"
"Saint Martin's University","Saint-Martins ","saint-martins","1845"
"Saint Michael's College","St. Michael's","saint-michaels","1705"
"The College of Saint Rose","St. Rose","saint-rose","1957"
"Saint Vincent College","St. Vincent","saint-vincent","1707"
"Salem College","Salem","salem","1709"
"Salem University","Salem University","salem-intl","1711"
"Salem State University","Salem St.","salem-st","1713"
"Salisbury University","Salisbury","salisbury","1715"
"Salve Regina University","Salve Regina","salve-regina","1717"
"Sam Houston State University","Sam Houston St.","sam-houston-st","1719"
"Samford University","Samford","samford","1721"
"University of San Diego","San Diego","san-diego","2259"
"San Diego State University","San Diego St.","san-diego-st","1723"
"San Francisco State University","San Fran. St.","san-fran-st","1725"
"University of San Francisco","San Francisco","san-francisco","2261"
"San Jose State University","San Jose St.","san-jose-st","1727"
"Santa Clara University","Santa Clara","santa-clara","1729"
"Sarah Lawrence College","Sarah Lawrence","sarah-lawrence","27387"
"Savannah State University","Savannah St.","savannah-st","1733"
"University of South Carolina Aiken","South-Carolina-Aiken","sc-aiken","2269"
"Savannah College of Art & Design","SCAD","scad","1731"
"Schreiner University","Schreiner","schreiner","1735"
"University of Scranton","Scranton","scranton","2263"
"Seattle University","Seattle","seattle","1739"
"Seattle Pacific University","Seattle Pacific","seattle-pacific","1737"
"Seton Hall University","Seton Hall","seton-hall","1741"
"Seton Hill University","Seton Hill","seton-hill","1743"
"The University of the South","Sewanee","sewanee","2323"
"Shaw University","Shaw","shaw","1745"
"Shenandoah University","Shenandoah","shenandoah","1747"
"Shepherd University","Shepherd","shepherd","1749"
"Shippensburg University","Shippensburg","shippensburg","1751"
"Shorter University","Shorter","shorter","27389"
"Siena College","Siena","siena","1753"
"Simmons College","Simmons","simmons","1755"
"Simon Fraser University","Simon Fraser","simon-fraser","1757"
"Simpson College","Simpson","simpson","1759"
"University of Sioux Falls","Sioux Falls","sioux-falls","2265"
"Southern Illinois Univ.-Edwardsville ","SIUE","siu-edwardsville","1789"
"Skidmore College","Skidmore","skidmore","1761"
"Slippery Rock University","Slippery Rock","slippery-rock","1763"
"Smith College","Smith","smith","1765"
"Southern Methodist University","SMU","smu","1791"
"Sonoma State University","Sonoma St.","sonoma-st","1767"
"University of South Alabama","South Ala.","south-ala","2267"
"University of South Carolina","South Carolina","south-carolina","2273"
"South Carolina State University","South Carolina St.","south-carolina-st","1769"
"University of South Dakota","South Dakota","south-dakota","2275"
"South Dakota (Mines)","South Dakota Mines","south-dakota-mines","1771"
"South Dakota State University","South Dakota St.","south-dakota-st","1773"
"University of South Florida","South Fla.","south-fla","2277"
"Southampton Campus of LIU","Southampton","southampton","1775"
"Southeast Missouri State University","Southeast Mo. St.","southeast-mo-st","1777"
"Southeastern Louisiana University","Southeastern La.","southeastern-la","1779"
"Southeastern Oklahoma State Univ.","Southeastern Okla.","southeastern-okla","1781"
"Southern Arkansas University","Southern Ark.","southern-ark","1783"
"University of Southern California","Southern California","southern-california","2279"
"Southern Connecticut St. University","Southern Conn. St.","southern-conn-st","1785"
"Southern Illinois University","Southern Ill.","southern-ill","1787"
"University of Southern Indiana","Southern Ind.","southern-ind","2281"
"University of Southern Maine","Southern Me.","southern-me","2283"
"The University of Southern Mississippi","Southern Miss.","southern-miss","2285"
"Southern Nazarene University","Southern Nazarene","southern-nazarene","27391"
"Southern New Hampshire University","Southern N.H.","southern-nh","1793"
"Southern University","Southern U.","southern-u","1795"
"Southern Utah University","Southern Utah","southern-utah","1797"
"Southern Virginia University","Southern Virginia","southern-va","27393"
"Southern Vermont College","Southern Vt.","southern-vt","1799"
"Southern Wesleyan University","Southern Wesleyan","southern-wesleyan","27395"
"Southwest Baptist University","Southwest Baptist","southwest-baptist","1801"
"Southwest Minnesota St. University","Southwest Minn. St.","southwest-minn-st","1803"
"Southwestern Oklahoma State Univ.","Southwestern Okla.","southwestern-okla","1805"
"Southwestern University","Southwestern (TX)","southwestern-tx","1807"
"Spalding University","Spalding","spalding","1809"
"Spelman College","Spelman","spelman","1811"
"Spring Hill College","Spring Hill","spring-hill","27397"
"Springfield College","Springfield","springfield","1813"
"St. Andrews Presbyterian College","St. Andrews","st-andrews","1815"
"Saint Anselm College","St. Anselm","st-anselm","1687"
"St. Augustine's University","St. Augustine's","st-augustines","1817"
"College of Saint Benedict","Saint Benedict","st-benedict","701"
"St. Bonaventure University","St. Bonaventure","st-bonaventure","1819"
"St. Catherine University","St. Catherine","st-catherine","1821"
"St. Cloud State University","St. Cloud State","st-cloud-st","1823"
"St. Edward's University","St. Edward's","st-edwards","1825"
"College of Saint Elizabeth","St. Elizabeth","st-elizabeth","699"
"University of St. Francis (Ill.)","St. Francis (IL)","st-francis-il","1827"
"St. Francis College Brooklyn","St. Francis Brooklyn","st-francis-ny","1829"
"Saint Francis University","St. Francis (PA)","st-francis-pa","1689"
"St. John Fisher College","St. John Fisher","st-john-fisher","1831"
"St. John's University (N.Y.) ","St. John's (NY)","st-johns-ny","1835"
"University of Saint Joseph (Conn.)","St. Joseph (CT)","st-joseph-ct","1837"
"St. Joseph's College (Brooklyn)","St. Joseph's (Brkln)","st-josephs-brkln","1839"
"Saint Joseph's College (Ind.) ","St. Joseph's (IN)","st-josephs-in","1691"
"St. Joseph's College (Long Island)","St. Joseph's (L.I.)","st-josephs-li","1841"
"Saint Joseph's College (Maine)","St. Joseph's (Me.)","st-josephs-me","1693"
"St. Lawrence University","St. Lawrence","st-lawrence","1843"
"St. Mary's College (CA)","Saint-Mary's (CA)","st-marys-ca","1847"
"Saint Mary's College (IN)","Saint-Mary's (IN)","st-marys-in","1701"
"St. Mary's College (MD)","Saint-Mary's (MD)","st-marys-md","1849"
"Saint Mary's University (Minn.)","Saint Mary's (Minn.)","st-marys-mn","1703"
"St. Mary's University (Texas) ","St. Mary's (TX)","st-marys-tx","1851"
"St. Norbert College","St. Norbert","st-norbert","1853"
"St. Olaf College","St. Olaf","st-olaf","1855"
"St. Paul's College","St. Paul's","st-pauls","1857"
"Saint Peter's University ","Saint Peter's ","st-peters","1859"
"College of St. Scholastica","St. Scholastica","st-scholastica","1959"
"St. Thomas Aquinas College","St. Thomas Aquinas","st-thomas-aquinas","1863"
"St. Thomas University","St. Thomas (FL)","st-thomas-fl","1861"
"University of St. Thomas (Minn.)","St. Thomas (MN)","st-thomas-mn","2287"
"","null","St. Cloud","38101"
"Stanford University","Stanford","stanford","1865"
"College of Staten Island","Staten Island","staten-island","703"
"Stephen F. Austin State University","Stephen F. Austin","stephen-f-austin","1891"
"Stephens College","Stephens","stephens","1893"
"Stetson University","Stetson","stetson","1895"
"Stevens Institute of Technology","Stevens Tech ","stevens","1897"
"Stevenson University","Stevenson","stevenson","1899"
"Stillman College","Stillman","stillman","1901"
"Stonehill College","Stonehill","stonehill","1903"
"Stony Brook University","Stony Brook","stony-brook","1905"
"Suffolk University","Suffolk","suffolk","1907"
"Sul Ross State University","Sul Ross St.","sul-ross-st","1909"
"SUNY Canton","SUNY Canton","suny-canton","27343"
"SUNY, Cortland","SUNY Cortland","suny-cortland","1877"
"SUNY, Geneseo","SUNY Geneseo","suny-geneseo","1881"
"SUNY Maritime College","SUNY Maritime","suny-maritime","1889"
"SUNY New Paltz","SUNY New Paltz","suny-new-paltz","1869"
"SUNY, Potsdam","SUNY Potsdam","suny-potsdam","1885"
"SUNY Polytechnic Institute","SUNY Poly","sunyit","1887"
"Susquehanna University","Susquehanna","susquehanna","1911"
"Swarthmore College","Swarthmore","swarthmore","1913"
"Sweet Briar College","Sweet Briar","sweet-briar","1915"
"Syracuse University","Syracuse","syracuse","1917"
"University of Tampa","Tampa","tampa","2289"
"Tarleton State University","Tarleton St.","tarleton-st","1919"
"The College of New Jersey","TCNJ","tcnj","1955"
"Texas Christian University","TCU","tcu","1937"
"Temple University","Temple","temple","1921"
"University of Tennessee","Tennessee","tennessee","2295"
"Tennessee State University","Tennessee St.","tennessee-st","1923"
"Tennessee Technological University","Tennessee Tech","tennessee-tech","1925"
"Texas A&M-Commerce","Tex. A&M-Commerce","tex-am-commerce","1931"
"Texas A&M International University","Tex. A&M Int'l","tex-am-intl","1927"
"Texas A&M-Kingsville","Tex. A&M-Kingsville","tex-am-kingsville","1935"
"Texas of the Permian Basin","Texas of the Permian Basin","tex-permian-basin","2309"
"University of Texas","Texas","texas","2299"
"Texas A&M University","Texas A&M","texas-am","1929"
"University of Texas at Arlington","Texas at Arlington","texas-arlington","2297"
"University of Texas at Dallas","Texas at Dallas","texas-dallas","2301"
"Texas Lutheran University","Texas Lutheran","texas-lutheran","1939"
"Texas Southern University","Texas Southern","texas-southern","1941"
"Texas State University","Texas St.","texas-st","1943"
"Texas Tech University","Texas Tech","texas-tech","1945"
"University of Texas at Tyler","Texas at Tyler","texas-tyler","2307"
"Texas Wesleyan University","Texas Wesleyan","texas-wesleyan","1947"
"Texas Woman's University","Texas Woman's","texas-womans","1949"
"Thiel College","Thiel","thiel","1965"
"Thomas College","Thomas (ME)","thomas-me","1967"
"Thomas More College","Thomas More","thomas-more","1969"
"Tiffin University","Tiffin","tiffin","1971"
"University of Toledo","Toledo","toledo","2325"
"Towson University","Towson","towson","1973"
"Transylvania University","Transylvania","transylvania","1975"
"Trevecca Nazarene University","Trevecca Nazarene","trevecca-nazarene","27403"
"Trine University","Trine","trine","1977"
"Trinity College (CT)","Trinity (CT)","trinity-ct","1979"
"Trinity University (Texas)","Trinity (TX)","trinity-tx","1983"
"Trinity Washington University","Trinity Washington","trinity-washington","1981"
"Troy University","Troy","troy","1985"
"Truman State University","Truman","truman","1987"
"Tufts University","Tufts","tufts","1989"
"Tulane University","Tulane","tulane","1991"
"The University of Tulsa","Tulsa","tulsa","2327"
"Tusculum College","Tusculum","tusculum","1993"
"Tuskegee University","Tuskegee","tuskegee","1995"
"University of New England","New-England ","u-new-england","2187"
"UAB","UAB","uab","2015"
" Little Rock","Little-Rock ","ualr","2031"
"Univ. of Colorado-Colorado Springs","Colo-Springs","uc-colo-springs","2069"
"UC Davis","UC Davis","uc-davis","2041"
"UC Irvine","UC Irvine","uc-irvine","2043"
"UC Riverside","UC Riverside","uc-riverside","2047"
"UC San Diego","UC San Diego","uc-san-diego","2049"
"UC Santa Barbara","UC Santa Barbara","uc-santa-barbara","2051"
"UC Santa Cruz","UC Santa Cruz","uc-santa-cruz","2053"
"University of Central Florida","Central Florida","ucf","2057"
"UCLA","UCLA","ucla","2045"
"University of Connecticut","Connecticut","uconn","2071"
"UMass Boston","Mass.-Boston","umass-boston","2147"
"UMass Dartmouth","Mass.-Dartmouth","umass-dartmouth","2149"
"UMass Lowell","Mass.-Lowell","umass-lowell","2143"
"UMBC","Maryland-Baltimore-County ","umbc","2137"
"UMKC","UMKC","umkc","2169"
"UNC Asheville","UNC Asheville","unc-asheville","2203"
"UNC Greensboro","UNC Greensboro","unc-greensboro","2199"
"UNC Pembroke","UNC Pembroke","unc-pembroke","2201"
"UNC Wilmington","UNCW","unc-wilmington","2209"
"University of Northern Iowa","Northern Iowa","uni","2219"
"Union College (N.Y.) ","Union (NY)","union-ny","2007"
"Union University (Tenn.)","Union (Tenn.)","union-tn","27405"
"UNLV","UNLV","unlv","2185"
"Upper Iowa University","Upper Iowa","upper-iowa","2371"
"Urbana University","Urbana University","urbana","2373"
"Ursinus College","Ursinus","ursinus","2375"
"Ursuline College","Ursuline","ursuline","2377"
"University of South Carolina Upstate","South-Carolina-Upstate","usc-upstate","2271"
"Univ. of the Sciences in Philadelphia","University of the Sciences","usciences","2321"
"University of Tennessee at Martin","Tenn-Martin","ut-martin","2293"
"University of Utah","Utah","utah","2329"
"Utah State University","Utah St.","utah-st","2379"
"Utah Valley University","Utah Valley","utah-valley","2381"
"University of Texas at El Paso","Texas at El Paso","utep","2303"
"Utica College","Utica","utica","2383"
"University of Texas Rio Grande Valley ","Texas Rio Grande Valley ","utrgv","2311"
"University of Texas at San Antonio","Texas at San Antonio","utsa","2305"
"Virginia's College at Wise","Virginia-Wise","uva-wise","27409"
"Virginia Wesleyan College","Virg-Wesleyan","va-wesleyan","2405"
"Valdosta State University","Valdosta St.","valdosta-st","2385"
"University of Valley Forge","Valley Forge","valley-forge-chrst","27407"
"Valparaiso University","Valparaiso","valparaiso","2387"
"Vanderbilt University","Vanderbilt","vanderbilt","2389"
"Vassar College","Vassar","vassar","2391"
"Virginia Commonwealth University","VCU","vcu","2395"
"University of Vermont","Vermont","vermont","2331"
"Villanova University","Villanova","villanova","2393"
"University of Virginia","Virginia","virginia","2333"
"Virginia State University","Virginia St.","virginia-st","2401"
"Virginia Tech","Virginia Tech","virginia-tech","2399"
"Virginia Union University","Virginia Union","virginia-union","2403"
"Virginia Military Institute","VMI","vmi","2397"
"Wabash College","Wabash","wabash","2407"
"Wagner College","Wagner","wagner","2409"
"Wake Forest University","Wake Forest","wake-forest","2411"
"Walsh University","Walsh","walsh","2413"
"Wartburg College","Wartburg","wartburg","2415"
"Washington and Jefferson College","Wash. & Jeff.","wash-jeff","2421"
"Washington and Lee University","Wash. & Lee","wash-lee","2423"
"Washburn University of Topeka ","Washburn","washburn","2417"
"University of Washington","Washington","washington","2335"
"Washington Adventist University","Washington Adventist","washington-adventist","2419"
"Washington College ","Washington Col.","washington-col","2425"
"Washington State University","Washington St.","washington-st","2427"
"Washington University (Missouri)","Washington-St. Louis","washington-st-louis","2429"
"Wayne State University ","Wayne St. (MI)","wayne-st-mi","2433"
