"long_name","name","slug","tid"
"Cal State-Monterey Bay","Cal St. Monterey Bay","cal-st-monterey-bay","559"
"Cal State-Northridge","Cal St. Northridge","cal-st-northridge","575"
"Cal State-San Bernardino","Cal St. San B'dino","cal-st-san-bdino","579"
"","Cal State-San Marcos","cal-st-san-marcos","43817"
"Cal State-Stanislaus","Cal St. Stanislaus","cal-st-stanislaus","581"
"Caldwell University","Caldwell","caldwell","547"
"University of California","California","california","2039"
"California Baptist University","Cal Baptist","california-baptist","549"
"California University of Pennsylvania","California (PA)","california-pa","583"
"California Institute of Technology","Caltech","caltech","551"
"Calvin College","Calvin","calvin","585"
"Cameron University","Cameron","cameron","587"
"Campbell University","Campbell","campbell","589"
"Canisius College","Canisius","canisius","591"
"Capital University","Capital","capital","593"
"Carleton College","Carleton","carleton","595"
"Carnegie Mellon University","Carnegie Mellon","carnegie-mellon","597"
"Carroll University","Carroll (WI)","carroll-wi","599"
"Carson-Newman College","Carson-Newman","carson-newman","601"
"Carthage College","Carthage","carthage","603"
"Case Western Reserve University","Case Western Reserve","case","605"
"Castleton University ","Castleton","castleton","607"
"Catawba College","Catawba","catawba","609"
"Catholic University","Catholic","catholic","611"
"Cazenovia College","Cazenovia","cazenovia","613"
"City College of New York","CCNY","ccny","1953"
"Cedar Crest College","Cedar Crest","cedar-crest","615"
"Cedarville University","Cedarville","cedarville","617"
"Centenary College of Louisiana","Centenary (LA)","centenary-la","619"
"Centenary University (N.J.)","Centenary (NJ)","centenary-nj","621"
"University of Central Arkansas","Central Ark.","central-ark","2055"
"Central Connecticut State University","Central Conn. St.","central-conn-st","625"
"Central College (Iowa)","Central (IA)","central-ia","623"
"Central Michigan University","Central Mich.","central-mich","627"
"University of Central Missouri","Central Mo.","central-mo","2059"
"University of Central Oklahoma","Central Okla.","central-okla","2061"
"Central State University","Central St. (OH)","central-st-oh","629"
"Central Washington University","Central Wash.","central-wash","631"
"Centre College","Centre","centre","633"
"Chadron State College","Chadron St.","chadron-st","635"
"Chaminade University","Chaminade","chaminade","637"
"Chapman University","Chapman","chapman","639"
"Charleston Southern University","Charleston So.","charleston-so","641"
"University of Charleston","Charleston (WV)","charleston-wv","2063"
"UNC Charlotte","Charlotte","charlotte","2207"
"Chatham University","Chatham","chatham","643"
"University of Tennessee at Chattanooga","Tenn-Chattanooga ","chattanooga","2291"
"Chestnut Hill College","Chestnut Hill","chestnut-hill","645"
"Cheyney University of Pennsylvania","Cheyney","cheyney","647"
"University of Chicago","Chicago","chicago","2065"
"Chicago State University","Chicago St.","chicago-st","649"
"California State University, Chico","Chico State","chico-st","563"
"Chowan University","Chowan","chowan","651"
"Christopher Newport University","Chris. Newport","chris-newport","655"
"Christian Brothers University","Christian Bros.","christian-bros","653"
"University of Cincinnati","Cincinnati","cincinnati","2067"
"The Citadel","Citadel","citadel","1951"
"NYC College of Technology","New-York-City-Tech","city-tech","1437"
"Claflin University","Claflin","claflin","657"
"Claremont-Mudd-Scripps Colleges","Claremont-M-S","claremont-m-s","659"
"Clarion University of Pennsylvania","Clarion","clarion","661"
"Clark Atlanta University","Clark Atlanta","clark-atlanta","663"
"Clark University","Clark (MA)","clark-ma","665"
"Clarke University","Clarke","clarke","667"
"Clarkson University","Clarkson","clarkson","669"
"Clayton State University","Clayton St.","clayton-st","671"
"Clemson University","Clemson","clemson","673"
"Cleveland State University","Cleveland St.","cleveland-st","675"
"U.S. Coast Guard Academy","Coast Guard","coast-guard","1999"
"Coastal Carolina University","Coastal Caro.","coastal-caro","677"
"SUNY, Cobleskill","Suny-Cobleskill ","cobleskill-st","1875"
"Coe College","Coe","coe","679"
"Coker College","Coker","coker","681"
"College of Charleston","Col. of Charleston","col-of-charleston","689"
"Colby College","Colby","colby","683"
"Colby-Sawyer College","Colby-Sawyer","colby-sawyer","685"
"Colgate University","Colgate","colgate","15"
"Colorado Christian University","Colo. Christian","colo-christian","711"
"University of Colorado","Colorado","colorado","9"
"Colorado College","Colorado Col.","colorado-col","713"
"Colorado Mesa University","Colorado Mesa","colorado-mesa","1319"
"Colorado School of Mines","Colorado School of Mines","colorado-mines","715"
"Colorado State University","Colorado St.","colorado-st","717"
"Colorado State University-Pueblo","Colorado St.-Pueblo","colorado-st-pueblo","719"
"Columbia University-Barnard College","Columbia","columbia","721"
"Columbus State University","Columbus St.","columbus-st","723"
"Concord University","Concord","concord","725"
"Concordia University Chicago","Concordia Chicago","concordia-chicago","733"
"","Concordia University-Irvine","concordia-irvine","43819"
"Concordia College-Moorhead","Concordia-M'head","concordia-mhead","729"
"Concordia College-New York","Concordia (NY)","concordia-ny","727"
"","Concordia University-Portland","concordia-or","43821"
"Concordia University, St. Paul","Concordia-St. Paul","concordia-st-paul","737"
"Concordia University Texas","Concordia (TX)","concordia-tx","735"
"Concordia University Wisconsin","Concordia (Wis.)","concordia-wi","731"
"Connecticut College","Connecticut Col.","connecticut-col","739"
"Converse College","Converse","converse","741"
"Coppin State University","Coppin St.","coppin-st","743"
"Cornell University","Cornell","cornell","7"
"Cornell College","Cornell College","cornell-college","745"
"Covenant College","Covenant","covenant","747"
"Creighton University","Creighton","creighton","749"
"Crown College","Crown (MN)","crown-mn","751"
"Curry College","Curry","curry","753"
"Daemen College","Daemen","daemen","27345"
"University of Dallas","Dallas","dallas","2073"
"Dallas Baptist University","Dallas Baptist","dallas-baptist","757"
"Daniel Webster College","Daniel Webster","daniel-webster","759"
"Dartmouth College","Dartmouth","dartmouth","761"
"Davidson College","Davidson","davidson","763"
"Davis and Elkins College","Davis & Elkins","davis-elkins","765"
"University of Dayton","Dayton","dayton","2075"
"Defiance College","Defiance","defiance","767"
"University of Delaware","Delaware","delaware","2077"
"Delaware State University","Delaware St.","delaware-st","769"
"Delaware Valley College","Delaware Valley","delaware-valley","771"
"Delta State University","Delta St.","delta-st","773"
"Denison University","Denison","denison","775"
"University of Denver","Denver","denver","2079"
"DePaul University","DePaul","depaul","777"
"DePauw University","DePauw","depauw","779"
"DeSales University","DeSales","desales","781"
"University of Detroit Mercy","Detroit","detroit","2081"
"Dickinson College","Dickinson","dickinson","783"
"University of the District of Columbia","Dist. Columbia","dist-columbia","2313"
"Dixie State University","Dixie St.","dixie-st","785"
"Dominican University of California","Dominican (Cal.)","dominican-ca","791"
"Dominican University (Ill.)","Dominican (IL)","dominican-il","789"
"Dominican College (N.Y.) ","Dominican (NY)","dominican-ny","787"
"Dowling College","Dowling","dowling","793"
"Drake University","Drake","drake","795"
"Drew University","Drew","drew","797"
"Drexel University","Drexel","drexel","799"
"Drury University","Drury","drury","801"
"University of Dubuque","Dubuque","dubuque","2083"
"Duke University","Duke","duke","803"
"Duquesne University","Duquesne","duquesne","805"
"D'Youville College","D'Youville","dyouville","755"
"Earlham College","Earlham","earlham","807"
"East Carolina University","East Carolina","east-carolina","809"
"East Central University","East Central","east-central","811"
"Eastern Mennonite University","East. Mennonite","east-mennonite","825"
"East Stroudsburg University","East Stroudsburg","east-stroudsburg","813"
"East Tennessee State University","East Tenn. St.","east-tenn-st","815"
"East Texas Baptist University","East Tex. Baptist","east-tex-baptist","817"
"Eastern University","Eastern","eastern","835"
"Eastern Connecticut State University","Eastern Conn. St.","eastern-conn-st","819"
"Eastern Illinois University","Eastern Ill.","eastern-ill","821"
"Eastern Kentucky University","Eastern Ky.","eastern-ky","823"
"Eastern Michigan University","Eastern Mich.","eastern-mich","827"
"Eastern Nazarene College","Eastern Nazarene","eastern-nazarene","829"
"Eastern New Mexico University","Eastern N.M.","eastern-nm","831"
"Eastern Oregon University","Eastern Ore.","eastern-ore","833"
"Eastern Washington University","Eastern Wash.","eastern-wash","837"
"Eckerd College","Eckerd","eckerd","839"
"Edgewood College","Edgewood","edgewood","841"
"Edinboro University","Edinboro","edinboro","843"
"Elizabeth City State University","Elizabeth City St.","elizabeth-city-st","845"
"Elizabethtown College","Elizabethtown","elizabethtown","847"
"Elmhurst College","Elmhurst","elmhurst","849"
"Elmira College","Elmira","elmira","851"
"Elms College","Elms","elms","853"
"Elon University","Elon","elon","855"
"Embry-Riddle University ","Embry-Riddle University","embry-riddle-fl","43823"
"Emerson College","Emerson","emerson","857"
"Emmanuel College (Ga.)","Emmanuel (Ga.)","emmanuel-ga","27347"
"Emmanuel College (Mass.)","Emmanuel (Mass.)","emmanuel-ma","859"
"Emory University","Emory","emory","863"
"Emory and Henry College","Emory & Henry","emory-henry","861"
"Emporia State University","Emporia St.","emporia-st","865"
"Endicott College","Endicott","endicott","867"
"Erskine College","Erskine","erskine","869"
"Eureka College","Eureka","eureka","871"
"University of Evansville","Evansville","evansville","2085"
"Evergreen St.","Evergreen St.","evergreen-st","873"
"Fairfield University","Fairfield","fairfield","875"
"Fairleigh Dickinson University","Fairleigh Dickinson","fairleigh-dickinson","879"
"Fairmont State University","Fairmont St.","fairmont-st","881"
"Farmingdale State College","Farmingdale St.","farmingdale-st","1879"
"Fayetteville State University","Fayetteville St.","fayetteville-st","883"
"Fairleigh Dickinson Univ., Florham","FDU-Florham","fdu-florham","877"
"Felician College","Felician","felician","885"
"Ferris State University","Ferris St.","ferris-st","887"
"Ferrum College","Ferrum","ferrum","889"
"Florida Gulf Coast University","FGCU","fgcu","901"
"University of Findlay","Findlay","findlay","2087"
"Finlandia University","Finlandia","finlandia","13"
"Fisk University","Fisk","fisk","891"
"Fitchburg State University","Fitchburg St.","fitchburg-st","893"
"Florida International University","FIU","fiu","905"
"Florida Atlantic University","Florida Atlantic","fla-atlantic","899"
"Florida Southern College","Fla. Southern","fla-southern","907"
"Flagler College","Flagler","flagler","895"
"University of Florida","Florida","florida","2089"
"Florida A&M University","Florida A&M","florida-am","897"
"Florida State University","Florida St.","florida-st","909"
"Florida Tech","Florida Tech","florida-tech","903"
"Fontbonne University","Fontbonne","fontbonne","911"
"Fordham University","Fordham","fordham","913"
"Fort Hays State University","Fort Hays St.","fort-hays-st","915"
"Fort Lewis College","Fort Lewis","fort-lewis","917"
"Fort Valley State University","Fort Valley St.","fort-valley-st","919"
"Framingham State University","Framingham St.","framingham-st","921"
"Francis Marion University","Francis Marion","francis-marion","923"
"Franciscan Univ. of Steubenville","Franciscan","franciscan","925"
"Franklin & Marshall College","Frank. & Marsh.","frank-marsh","927"
"Franklin College","Franklin","franklin","929"
"Franklin Pierce University","Franklin Pierce","franklin-pierce","931"
"SUNY at Fredonia","Fredonia","fredonia-st","1867"
"Fresno Pacific University","Fresno Pacific","fresno-pacific","27349"
"Fresno State","Fresno St.","fresno-st","569"
"Frostburg State University","Frostburg St.","frostburg-st","933"
"Furman University","Furman","furman","935"
"Georgia Southern University","Georgia Southern","ga-southern","955"
"Georgia Southwestern State Univ.","Ga. Southwestern","ga-southwestern","957"
"Gallaudet University","Gallaudet","gallaudet","937"
"Gannon University","Gannon","gannon","939"
"Gardner-Webb University","Gardner-Webb","gardner-webb","941"
"Geneva College","Geneva","geneva","943"
"George Fox University","George Fox","george-fox","945"
"George Mason University","George Mason","george-mason","947"
"George Washington University","George Washington","george-washington","949"
"Georgetown University","Georgetown","georgetown","951"
"University of Georgia","Georgia","georgia","2091"
"Georgia College","Georgia College","georgia-college","953"
"Georgia State University","Georgia St.","georgia-st","959"
"Georgia Tech","Georgia Tech","georgia-tech","19"
"Georgian Court University","Georgian Court","georgian-court","961"
"Gettysburg College","Gettysburg","gettysburg","963"
"Glenville State College","Glenville St.","glenville-st","965"
"Goldey-Beacom College","Goldey-Beacom","goldey-beacom","967"
"Gonzaga University","Gonzaga","gonzaga","969"
"Gordon College","Gordon","gordon","971"
"Goucher College","Goucher","goucher","973"
"Grambling State University","Grambling","grambling","975"
"Grand Canyon University","Grand Canyon","grand-canyon","977"
"Grand Valley State University","Grand Valley St.","grand-valley-st","979"
"University of Wisconsin, Green Bay","Green Bay","green-bay","2345"
"Green Mountain College","Green Mountain","green-mountain","981"
